Start,Finish,Heart Rate (count/min)
13-Oct-2017 22:27,13-Oct-2017 22:27,101.0
13-Oct-2017 22:33,13-Oct-2017 22:33,88.0
13-Oct-2017 22:40,13-Oct-2017 22:40,102.0
13-Oct-2017 22:44,13-Oct-2017 22:44,105.0
13-Oct-2017 22:49,13-Oct-2017 22:49,94.0
13-Oct-2017 22:53,13-Oct-2017 22:53,100.0
13-Oct-2017 23:02,13-Oct-2017 23:02,103.0
13-Oct-2017 23:06,13-Oct-2017 23:06,99.0
13-Oct-2017 23:09,13-Oct-2017 23:09,102.0
13-Oct-2017 23:12,13-Oct-2017 23:12,91.0
13-Oct-2017 23:19,13-Oct-2017 23:19,97.0
13-Oct-2017 23:27,13-Oct-2017 23:27,88.0
13-Oct-2017 23:31,13-Oct-2017 23:31,65.0
13-Oct-2017 23:37,13-Oct-2017 23:37,68.0
13-Oct-2017 23:42,13-Oct-2017 23:42,67.0
13-Oct-2017 23:45,13-Oct-2017 23:45,90.0
13-Oct-2017 23:51,13-Oct-2017 23:51,98.0
13-Oct-2017 23:53,13-Oct-2017 23:53,76.0
14-Oct-2017 00:02,14-Oct-2017 00:02,90.0
14-Oct-2017 00:04,14-Oct-2017 00:04,93.0
14-Oct-2017 00:08,14-Oct-2017 00:08,97.0
14-Oct-2017 00:14,14-Oct-2017 00:14,107.0
14-Oct-2017 00:19,14-Oct-2017 00:19,103.0
14-Oct-2017 00:27,14-Oct-2017 00:27,102.0
14-Oct-2017 00:33,14-Oct-2017 00:33,104.0
14-Oct-2017 01:04,14-Oct-2017 01:04,97.0
14-Oct-2017 01:17,14-Oct-2017 01:17,107.0
14-Oct-2017 01:18,14-Oct-2017 01:18,104.0
14-Oct-2017 01:29,14-Oct-2017 01:29,103.0
14-Oct-2017 01:32,14-Oct-2017 01:32,91.0
14-Oct-2017 01:34,14-Oct-2017 01:34,97.0
14-Oct-2017 01:51,14-Oct-2017 01:51,93.0
14-Oct-2017 02:00,14-Oct-2017 02:00,97.0
14-Oct-2017 02:06,14-Oct-2017 02:06,97.0
14-Oct-2017 02:09,14-Oct-2017 02:09,97.0
14-Oct-2017 02:18,14-Oct-2017 02:18,97.0
14-Oct-2017 02:19,14-Oct-2017 02:19,97.0
14-Oct-2017 02:36,14-Oct-2017 02:36,88.0
14-Oct-2017 02:49,14-Oct-2017 02:49,88.0
14-Oct-2017 03:04,14-Oct-2017 03:04,88.0
14-Oct-2017 03:15,14-Oct-2017 03:15,88.0
14-Oct-2017 03:18,14-Oct-2017 03:18,88.0
14-Oct-2017 03:33,14-Oct-2017 03:33,82.0
14-Oct-2017 03:47,14-Oct-2017 03:47,83.0
14-Oct-2017 03:57,14-Oct-2017 03:57,86.0
14-Oct-2017 04:00,14-Oct-2017 04:00,88.0
14-Oct-2017 04:06,14-Oct-2017 04:06,91.0
14-Oct-2017 04:19,14-Oct-2017 04:19,81.0
14-Oct-2017 04:29,14-Oct-2017 04:29,81.0
14-Oct-2017 04:35,14-Oct-2017 04:35,84.0
14-Oct-2017 04:45,14-Oct-2017 04:45,81.0
14-Oct-2017 04:48,14-Oct-2017 04:48,83.0
14-Oct-2017 05:01,14-Oct-2017 05:01,81.0
14-Oct-2017 05:02,14-Oct-2017 05:02,81.0
14-Oct-2017 05:18,14-Oct-2017 05:18,81.0
14-Oct-2017 05:34,14-Oct-2017 05:34,81.0
14-Oct-2017 05:40,14-Oct-2017 05:40,74.0
14-Oct-2017 05:49,14-Oct-2017 05:49,88.0
14-Oct-2017 05:53,14-Oct-2017 05:53,81.0
14-Oct-2017 06:07,14-Oct-2017 06:07,81.0
14-Oct-2017 06:20,14-Oct-2017 06:20,73.0
14-Oct-2017 06:35,14-Oct-2017 06:35,73.0
14-Oct-2017 06:48,14-Oct-2017 06:48,73.0
14-Oct-2017 07:06,14-Oct-2017 07:06,67.0
14-Oct-2017 07:20,14-Oct-2017 07:20,68.0
14-Oct-2017 07:27,14-Oct-2017 07:27,69.0
14-Oct-2017 07:36,14-Oct-2017 07:36,77.0
14-Oct-2017 07:40,14-Oct-2017 07:40,79.0
14-Oct-2017 07:45,14-Oct-2017 07:45,71.0
14-Oct-2017 07:47,14-Oct-2017 07:47,73.0
14-Oct-2017 07:57,14-Oct-2017 07:57,77.0
14-Oct-2017 08:05,14-Oct-2017 08:05,72.0
14-Oct-2017 08:15,14-Oct-2017 08:15,61.0
14-Oct-2017 08:17,14-Oct-2017 08:17,62.0
14-Oct-2017 08:19,14-Oct-2017 08:19,60.0
14-Oct-2017 08:33,14-Oct-2017 08:33,65.0
14-Oct-2017 08:48,14-Oct-2017 08:48,66.0
14-Oct-2017 08:52,14-Oct-2017 08:52,69.0
14-Oct-2017 09:05,14-Oct-2017 09:05,82.0
14-Oct-2017 09:09,14-Oct-2017 09:09,81.0
14-Oct-2017 09:17,14-Oct-2017 09:17,82.0
14-Oct-2017 09:19,14-Oct-2017 09:19,73.0
14-Oct-2017 09:34,14-Oct-2017 09:34,73.0
14-Oct-2017 09:41,14-Oct-2017 09:41,77.0
14-Oct-2017 09:46,14-Oct-2017 09:46,71.0
14-Oct-2017 09:49,14-Oct-2017 09:49,60.0
14-Oct-2017 10:05,14-Oct-2017 10:05,74.0
